[+] copy_from_user symbols: 224
[+] sweep done: 275382 bl sites, funcs with subs: 17777
[+] copy_from_user call sites: 1271

===== 鏍″噯閿氱偣 =====
__arm64_sys_sched_setaffinity  depth=0x040 (鏈熸湜 0x40) __arm64_sys_sched_setaffinity(0x40)
__arm64_sys_select             depth=0x080 (鏈熸湜 0x1f0) __arm64_sys_select(0x80)

===== 鏍堢洰鏍囧€欓€? 670 涓?=====
func                                           frame  imm      size     depth(s)
do_vfs_ioctl                                   0xa0   sp+0x18  0x20     0x0d8, 0x0e8
do_vfs_ioctl                                   0xa0   sp+0x18  0x30     0x0d8, 0x0e8
do_vfs_ioctl                                   0xa0   sp+0x18  0x20     0x0d8, 0x0e8
do_vfs_ioctl                                   0xa0   sp+0x18  0x30     0x0d8, 0x0e8
do_vfs_ioctl                                   0xa0   sp+0x18  0x30     0x0d8, 0x0e8
__sys_bind                                     0xd0   sp+0x8   UNKNOWN  0x0d8, 0x148
__sys_recvmmsg                                 0x70   sp+0x18  0x10     0x0d8, 0x068
__sys_recvmmsg                                 0x70   sp+0x18  0x8      0x0d8, 0x068
do_fcntl                                       0xa0   sp+0x10  0x20     0x0e0
do_fcntl                                       0xa0   sp+0x10  0x20     0x0e0
__sys_sendto                                   0x150  sp+0x78  UNKNOWN  0x0e8, 0x158
__sys_connect                                  0xe0   sp+0x8   UNKNOWN  0x0e8, 0x158
__copy_siginfo_from_user                       0x90   sp+0x8   0x50     0x0f8, 0x0e8
__arm64_sys_clock_adjtime                      0x100  sp+0x8   0xd0     0x0f8
__io_uring_register                            0x80   sp+0x8   0x10     0x0f8
__io_uring_register                            0x80   sp+0x8   0x20     0x0f8
__io_uring_register                            0x80   sp+0x8   0x20     0x0f8
__io_uring_register                            0x80   sp+0x8   UNKNOWN  0x0f8
__io_uring_register                            0x80   sp+0x8   0x20     0x0f8
__io_uring_register                            0x80   sp+0x8   0x20     0x0f8
__io_uring_register                            0x80   sp+0x8   0x4      0x0f8
__arm64_sys_adjtimex                           0x110  sp+0x8   0xd0     0x108
io_submit_one                                  0x80   sp+0x8   0x40     0x108
sock_setsockopt                                0xa0   sp+0x20  0x4      0x110, 0x180
sock_setsockopt                                0xa0   sp+0x20  0x8      0x110, 0x180
sock_setsockopt                                0xa0   sp+0x20  0x8      0x110, 0x180
sock_setsockopt                                0xa0   sp+0x18  0x8      0x118, 0x188
sock_setsockopt                                0xa0   sp+0x14  0x4      0x11c, 0x18c
__sys_recvmsg                                  0x180  sp+0x70  0x38     0x120, 0x190
__sys_recvmsg                                  0x180  sp+0x70  0x1c     0x120, 0x190
sock_setsockopt                                0xa0   sp+0x8   0x8      0x128, 0x198
ptrace_request                                 0x170  sp+0x88  0x8      0x138, 0x3c8
io_register_iowq_max_workers                   0x40   sp+0x0   0x8      0x140
io_sqe_files_register                          0x60   sp+0x4   0x4      0x15c
sock_set_timeout                               0x50   sp+0x18  0x10     0x168, 0x1d8
ptrace_request                                 0x170  sp+0x48  0x10     0x178, 0x408
copy_siginfo_from_user                         0x80   sp+0x8   0x50     0x178
__do_sys_bpf                                   0x1b0  sp+0x48  UNKNOWN  0x178
sock_set_timeout                               0x50   sp+0x8   0x10     0x178, 0x1e8
sock_set_timeout                               0x50   sp+0x8   0x8      0x178, 0x1e8
do_recvmmsg                                    0x1d0  sp+0xa8  0x38     0x188, 0x198
do_recvmmsg                                    0x1d0  sp+0xa8  0x38     0x188, 0x198
do_recvmmsg                                    0x1d0  sp+0xa8  0x1c     0x188, 0x198
sk_getsockopt                                  0x120  sp+0x14  0x4      0x18c, 0x1fc
io_sqe_buffers_register                        0x90   sp+0x0   0x10     0x190
io_submit_sqe                                  0x70   sp+0x8   0x10     0x198
copy_clone_args_from_user                      0xa0   sp+0x0   UNKNOWN  0x1a0
__sys_sendmsg                                  0x200  sp+0x70  0x1c     0x1a0, 0x210
__arm64_sys_quotactl                           0x210  sp+0x50  0x48     0x1c0
__arm64_sys_quotactl                           0x210  sp+0x50  0x70     0x1c0
__arm64_sys_quotactl                           0x210  sp+0x50  0x1      0x1c0
__arm64_sys_quotactl                           0x210  sp+0x50  0x18     0x1c0
__do_sys_prctl                                 0x230  sp+0x50  UNKNOWN  0x1f0
core_sys_select                                0x1c0  sp+0x50  UNKNOWN  0x1f0, 0x210
keyctl_pkey_params_get_2                       0x70   sp+0x10  arg2     0x1f0, 0x1d0, 0x200, 0x1e0
io_timeout_prep                                0x60   sp+0x8   0x10     0x1f8
bpf_link_get_info_by_fd                        0x60   sp+0x8   UNKNOWN  0x218
bpf_iter_link_attach                           0x60   sp+0x8   UNKNOWN  0x218
btf_get_info_by_fd                             0x70   sp+0x8   UNKNOWN  0x228
__get_compat_msghdr                            0x60   sp+0x8   0x1c     0x228
__sys_sendmmsg                                 0x2c0  sp+0x90  0x1c     0x240, 0x2b0
compat_ptrace_request                          0x100  sp+0x38  0x80     0x2a8
restore_fpsimd_context                         0x250  sp+0x0   0x200    0x300
bpf_prog_get_info_by_fd                        0x190  sp+0x50  UNKNOWN  0x300
restore_sve_fpsimd_context                     0x270  sp+0x10  0x200    0x310
restore_sve_fpsimd_context                     0x270  sp+0x0   0x10     0x320
prctl_set_package                              0x130  sp+0x18  UNKNOWN  0x358
compat_gpr_set                                 0x1c0  sp+0x4   UNKNOWN  0x39c
sendmsg_copy_msghdr                            0x60   sp+0x0   0x1c     0x440, 0x4b0, 0x1c0, 0x230, 0x220, 0x290
do_sys_poll                                    0x450  sp+0x7c  sp+0x7c  0x454, 0x434, 0x444
____sys_sendmsg                                0x90   sp+0x10  UNKNOWN  0x460, 0x4d0, 0x290, 0x300, 0x350, 0x3c0
__copy_msghdr_from_user                        0x80   sp+0x0   0x38     0x4a0, 0x220, 0x290, 0x280, 0x300, 0x350, 0x3c0, 0x4c0, 0x240, 0x2b0, 0x2a0
cmsghdr_from_user_compat_to_kern               0x90   sp+0x18  0xc      0x4e8, 0x318, 0x388, 0x3d8, 0x448
__io_sqe_buffers_update                        0xd0   sp+0x38  0x8      0x528, 0x248
user_backtrace                                 0x50   sp+0x8   0x10     
compat_user_backtrace                          0x50   sp+0x8   0xc      
kvm_vm_ioctl                                   0xf0   sp+0x20  0x10     
kvm_vm_ioctl                                   0xf0   sp+0x0   0x20     
kvm_vm_ioctl                                   0xf0   sp+0x20  0x18     
kvm_vm_ioctl                                   0xf0   sp+0x20  0x8      
kvm_vm_ioctl                                   0xf0   sp+0x20  0x20     
kvm_vm_ioctl                                   0xf0   sp+0x20  0x68     
