[+] copy_from_user symbols: 224
[+] sweep done: 96819 bl sites, funcs with subs: 17777
[+] copy_from_user call sites: 645

===== 鏍″噯閿氱偣 =====
__arm64_sys_select             depth=0x080 (鏈熸湜 0x1f0) __arm64_sys_select(0x80)

===== 鏍堢洰鏍囧€欓€? 433 涓?=====
func                                           frame  imm      size     depth(s)
pending_reads_dispatch_ioctl                   0x130  sp+0x58  0x10     
pending_reads_dispatch_ioctl                   0x130  sp+0x58  0x4      
pending_reads_dispatch_ioctl                   0x130  sp+0x58  0x38     
pending_reads_dispatch_ioctl                   0x130  sp+0x58  0x10     
dispatch_ioctl                                 0xb0   sp+0x20  0x10     
dispatch_ioctl                                 0xb0   sp+0x20  0x28     
dispatch_ioctl                                 0xb0   sp+0x10  0x10     
dispatch_ioctl                                 0xb0   sp+0x20  0x20     
incfs_ioctl_enable_verity                      0x1e0  sp+0x90  0x80     
debugfs_write_file_bool                        0x50   sp+0x4   UNKNOWN  
__f2fs_ioctl                                   0xc0   sp+0x30  0x1c     
__f2fs_ioctl                                   0xc0   sp+0x30  0x18     
__f2fs_ioctl                                   0xc0   sp+0x30  0x20     
__f2fs_ioctl                                   0xc0   sp+0x30  0x8      
__f2fs_ioctl                                   0xc0   sp+0x30  0x8      
__f2fs_ioctl                                   0xc0   sp+0x30  0x10     
__f2fs_ioctl                                   0xc0   sp+0x30  0x18     
__f2fs_ioctl                                   0xc0   sp+0x30  0x2      
blkdev_common_ioctl                            0x80   sp+0x0   0x18     
blkdev_common_ioctl                            0x80   sp+0x0   0x18     
blkdev_common_ioctl                            0x80   sp+0x0   0x18     
blkdev_common_ioctl                            0x80   sp+0x0   0x10     
blkdev_common_ioctl                            0x80   sp+0x0   0x10     
blkdev_common_ioctl                            0x80   sp+0x0   0x10     
blkdev_common_ioctl                            0x80   sp+0x0   0x10     
blk_ioctl_discard                              0x60   sp+0x8   0x10     
queue_state_write                              0x50   sp+0x8   UNKNOWN  
kstrtoull_from_user                            0x90   sp+0x0   UNKNOWN  
gpio_ioctl                                     0x280  sp+0x20  0x250    
gpio_ioctl                                     0x280  sp+0x20  0x4      
gpio_ioctl                                     0x280  sp+0x20  0x30     
gpio_ioctl                                     0x280  sp+0x20  0x16c    
tty_ioctl                                      0xc0   sp+0x8   0x48     
tty_ioctl                                      0xc0   sp+0x8   0x8      
tty_compat_ioctl                               0xf0   sp+0x0   0x3c     
tty_mode_ioctl                                 0xc0   sp+0x8   0x24     
uart_ioctl                                     0x80   sp+0x0   0x28     
uart_ioctl                                     0x80   sp+0x0   0x20     
drm_mode_atomic_ioctl                          0xe0   sp+0x28  UNKNOWN  
compat_drm_getunique                           0x40   sp+0x10  0x8      
compat_drm_wait_vblank                         0x60   sp+0x18  0x10     
connector_write                                0x50   sp+0x8   UNKNOWN  
lo_ioctl                                       0x1e0  sp+0x8   0x130    
lo_ioctl                                       0x1e0  sp+0x8   0xe8     
loop_info64_from_compat                        0xc0   sp+0x8   0x8c     
uid_procstat_write                             0xe0   sp+0x8   UNKNOWN  
dma_buf_ioctl                                  0x50   sp+0x10  arg2     
sync_file_ioctl                                0x100  sp+0x20  0x30     
__tun_chr_ioctl                                0xc0   sp+0x30  UNKNOWN  
__tun_chr_ioctl                                0xc0   sp+0x20  0x4      
__tun_chr_ioctl                                0xc0   sp+0x28  0x4      
__tun_chr_ioctl                                0xc0   sp+0x28  0x4      
__tun_chr_ioctl                                0xc0   sp+0x24  0x4      
__tun_chr_ioctl                                0xc0   sp+0x1c  0x4      
__tun_chr_ioctl                                0xc0   sp+0x18  0x4      
__tun_chr_ioctl                                0xc0   sp+0x2c  0x4      
ppp_ioctl                                      0x80   sp+0x8   0x10     
ppp_ioctl                                      0x80   sp+0x18  0x8      
ppp_compat_ioctl                               0x60   sp+0x18  0xc      
uio_write                                      0x40   sp+0x4   arg2     
usbdev_ioctl                                   0x1e0  sp+0x38  0x8      
usbdev_ioctl                                   0x1e0  sp+0x38  0x2c     
usbdev_ioctl                                   0x1e0  sp+0x68  0x18     
usbdev_ioctl                                   0x1e0  sp+0x68  0x104    
usbdev_ioctl                                   0x1e0  sp+0x68  0x108    
usbdev_ioctl                                   0x1e0  sp+0x68  0x8      
usbdev_ioctl                                   0x1e0  sp+0x68  0x18     
usbdev_ioctl                                   0x1e0  sp+0x68  0x10     
usbdev_ioctl                                   0x1e0  sp+0x68  0x38     
usbdev_ioctl                                   0x1e0  sp+0x38  0xc      
usbdev_ioctl                                   0x1e0  sp+0x68  0x10     
usbdev_ioctl                                   0x1e0  sp+0x68  0x4      
dwc3_link_state_write                          0x80   sp+0x8   UNKNOWN  
xhci_port_write                                0x70   sp+0x8   UNKNOWN  
evdev_do_ioctl                                 0xf0   sp+0x4   0x4      
evdev_do_ioctl                                 0xf0   sp+0x38  0x10     
evdev_do_ioctl                                 0xf0   sp+0x38  0x10     
evdev_do_ioctl                                 0xf0   sp+0x48  UNKNOWN  
uinput_ioctl_handler                           0x140  sp+0x0   0xc      
uinput_ioctl_handler                           0x140  sp+0x0   0xc      
uinput_ioctl_handler                           0x140  sp+0x10  0x68     
uinput_ioctl_handler                           0x140  sp+0x10  0x68     
rtc_dev_ioctl                                  0xc0   sp+0x30  0x24     
rtc_dev_ioctl                                  0xc0   sp+0x8   0x28     
i2cdev_ioctl                                   0x50   sp+0x8   0x10     
i2cdev_ioctl                                   0x50   sp+0x8   0x10     
compat_i2cdev_ioctl                            0x70   sp+0x10  0xc      
compat_i2cdev_ioctl                            0x70   sp+0x10  0xc      
video_get_user                                 0xb0   sp+0x8   0x50     
cec_ioctl                                      0x100  sp+0x38  0x38     
cec_ioctl                                      0x100  sp+0x10  0x4      
cec_ioctl                                      0x100  sp+0x38  0x2      
cec_ioctl                                      0x100  sp+0x38  0x38     
cec_ioctl                                      0x100  sp+0x38  0x5c     
uvc_v4l2_compat_ioctl32                        0xa0   sp+0x18  0x58     
uvc_v4l2_compat_ioctl32                        0xa0   sp+0x8   0xc      
mmc_blk_ioctl_multi_cmd                        0x70   sp+0x0   0x8      
hidraw_ioctl                                   0x50   sp+0x10  UNKNOWN  
wiidebug_drm_write                             0x60   sp+0x8   UNKNOWN  
hiddev_ioctl                                   0xc0   sp+0x20  0x38     
vhost_vsock_dev_ioctl                          0x60   sp+0x4   0x4      
vhost_vsock_dev_ioctl                          0x60   sp+0x10  0x8      
vhost_vsock_dev_ioctl                          0x60   sp+0x8   0x8      
vhost_vring_ioctl                              0x90   sp+0x10  0x28     
vhost_vring_ioctl                              0x90   sp+0x10  0x8      
vhost_vring_ioctl                              0x90   sp+0x0   0x8      
vhost_vring_ioctl                              0x90   sp+0x0   0x8      
vhost_vring_ioctl                              0x90   sp+0x0   0x8      
vhost_vring_ioctl                              0x90   sp+0x8   0x8      
vhost_vring_ioctl                              0x90   sp+0x8   0x8      
ashmem_ioctl                                   0x170  sp+0x10  UNKNOWN  
rproc_coredump_write                           0x60   sp+0x0   UNKNOWN  
rproc_cdev_write                               0x50   sp+0x8   UNKNOWN  
rproc_device_ioctl                             0x30   sp+0x4   0x4      
rpmsg_ctrldev_ioctl                            0x90   sp+0x20  arg2     
iio_debugfs_write_reg                          0x90   sp+0x8   UNKNOWN  
binder_ctl_ioctl                               0x140  sp+0x0   UNKNOWN  
binder_ioctl                                   0xd0   sp+0x30  0xc      
binder_ioctl_write_read                        0xb0   sp+0x18  0x30     
freeze_ctrl                                    0x170  sp+0x38  0x28     
freeze_ctrl                                    0x170  sp+0x64  0x4      
freeze_ctrl                                    0x170  sp+0x68  UNKNOWN  
freeze_ctrl                                    0x170  sp+0x68  UNKNOWN  
freeze_ctrl                                    0x170  sp+0x68  UNKNOWN  
freeze_ctrl                                    0x170  sp+0x68  UNKNOWN  
prio_node_write                                0x220  sp+0x18  UNKNOWN  
vivolog_write                                  0xb0   sp+0x8   UNKNOWN  
vivolog_ioctl                                  0x90   sp+0x8   0x50     
vivolog_ioctl                                  0x90   sp+0x8   0x50     
vivolog_ioctl                                  0x90   sp+0x8   0x50     
vivolog_ioctl                                  0x90   sp+0x8   0x50     
copy_from_user_toio                            0x150  sp+0x8   UNKNOWN  
snd_ctl_ioctl                                  0x1b0  sp+0x30  0x40     
snd_ctl_ioctl                                  0x1b0  sp+0x30  0x50     
snd_ctl_ioctl                                  0x1b0  sp+0x30  0x110    
snd_ctl_ioctl                                  0x1b0  sp+0x30  0x40     
snd_ctl_ioctl                                  0x1b0  sp+0x30  0x110    
snd_ctl_ioctl                                  0x1b0  sp+0x30  0x40     
snd_ctl_ioctl                                  0x1b0  sp+0x30  0x110    
snd_ctl_elem_list_compat                       0x80   sp+0x8   0x10     
snd_hwdep_ioctl                                0x130  sp+0x8   0x60     
snd_hwdep_dsp_load_compat                      0x90   sp+0x8   0x44     
__snd_timer_user_ioctl                         0xf0   sp+0x38  0x14     
__snd_timer_user_ioctl                         0xf0   sp+0x38  0x34     
__snd_timer_user_ioctl                         0xf0   sp+0x38  0x50     
__snd_timer_user_ioctl                         0xf0   sp+0x38  0x48     
__snd_timer_user_ioctl                         0xf0   sp+0x38  0x50     
snd_timer_user_gparams_compat                  0x70   sp+0x0   0x14     
snd_pcm_common_ioctl                           0x180  sp+0x78  0x18     
snd_pcm_common_ioctl                           0x180  sp+0x78  0x88     
