===== preload.so crash-safe log =====
path=/data/local/tmp/.temp/log_1788952722.txt tmp=- pid=6121 uid=2000
1788952722.290 6121 [+] preload starting pid=6121
1788952722.291 6121 [+] startup context pid=6121 uid=2000 euid=2000 gid=2000 egid=2000 attr=u:r:shell:s0 enforce=1
1788952722.292 6121 [+] build config pid=6121 label=pd2238_os6_163150_w10 slide=pselect main=pselect
1788952722.292 6121 [+] p0 profile pid=6121 phys_offset=0000000040000000 kernel_phys_load=0000000040000000 delta=0000000000000000 init_task=ffffffc00aaec240 root_tg=ffffffc00ad33100
1788952722.293 6121 [+] direct-map base=ffffff8040000000 slide=0000000000000000
1788952722.296 6121 [+] ckpt: WRITE-PROOF armed bootid_store=ffffff8042ee9110 bootid_buf=ffffff8042ee910d before=31638d59-7c3a-4556-a71c-b20baa9b3a7e (odd: leaked scratch, even: aligned bootid+3)
1788952724.833 6121 [*] parameters cpu (16) mm_struct sz (3c0) mm slab order (3) thread cnt (8) collisions (16) mte disabled
1788952728.122 6121 [*] pile-up verified: approx_time=2848
1788952728.124 6121 [*] start finding collisisons
1788952728.125 6121 [*] target    0000007f6821b0c8
1788952749.410 6121 [*] [  0] tested 700000 candidates, scanning=0xffffff80270fff80
1788952749.410 6121 [*] [  1] tested 500000 candidates, scanning=0xffffff881be6da00
1788952749.411 6121 [*] [  4] tested 800000 candidates, scanning=0xffffffa02ca48f00
1788952749.412 6121 [*] [  5] tested 600000 candidates, scanning=0xffffffa8217b6cc0
1788952749.413 6121 [*] [  6] tested 600000 candidates, scanning=0xffffffb0217b6cc0
1788952749.413 6121 [*] [  3] tested 800000 candidates, scanning=0xffffff982ca48f00
1788952749.414 6121 [*] [  1] tested 600000 candidates, scanning=0xffffff88217b6cc0
1788952749.415 6121 [*] [  0] tested 800000 candidates, scanning=0xffffff802ca48f00
1788952749.416 6121 [*] [  6] tested 700000 candidates, scanning=0xffffffb0270fff80
1788952749.416 6121 [*] [  2] tested 700000 candidates, scanning=0xffffff90270fff80
1788952749.417 6121 [*] [  3] tested 900000 candidates, scanning=0xffffff98323921c0
1788952749.418 6121 [*] [  1] tested 700000 candidates, scanning=0xffffff88270fff80
1788952749.419 6121 [*] [  7] tested 400000 candidates, scanning=0xffffffb816524740
1788952749.419 6121 [*] [  0] tested 900000 candidates, scanning=0xffffff80323921c0
1788952749.420 6121 [*] [  6] tested 800000 candidates, scanning=0xffffffb02ca48f00
1788952749.421 6121 [*] [  2] tested 800000 candidates, scanning=0xffffff902ca48f00
1788952749.421 6121 [*] [  4] tested 900000 candidates, scanning=0xffffffa0323921c0
1788952749.421 6121 [*] [  3] tested 1000000 candidates, scanning=0xffffff9837cdb480
1788952749.422 6121 [*] [  1] tested 800000 candidates, scanning=0xffffff882ca48f00
1788952749.422 6121 [*] [  5] tested 700000 candidates, scanning=0xffffffa8270fff80
1788952749.424 6121 [*] [  4] tested 1000000 candidates, scanning=0xffffffa037cdb480
1788952749.424 6121 [*] [  6] tested 900000 candidates, scanning=0xffffffb0323921c0
1788952749.424 6121 [*] [  0] tested 1000000 candidates, scanning=0xffffff8037cdb480
1788952749.425 6121 [*] [  7] tested 500000 candidates, scanning=0xffffffb81be6da00
1788952749.426 6121 [*] [  2] tested 900000 candidates, scanning=0xffffff90323921c0
1788952749.427 6121 [*] [  5] tested 800000 candidates, scanning=0xffffffa82ca48f00
1788952749.427 6121 [*] [  3] tested 1100000 candidates, scanning=0xffffff983d624740
1788952749.428 6121 [*] [  4] tested 1100000 candidates, scanning=0xffffffa03d624740
1788952749.429 6121 [*] [  0] tested 1100000 candidates, scanning=0xffffff803d624740
1788952749.430 6121 [*] [  6] tested 1000000 candidates, scanning=0xffffffb037cdb480
1788952749.430 6121 [*] [  2] tested 1000000 candidates, scanning=0xffffff9037cdb480
1788952749.431 6121 [*] [  7] tested 600000 candidates, scanning=0xffffffb8217b6cc0
1788952749.431 6121 [*] [  1] tested 900000 candidates, scanning=0xffffff88323921c0
1788952749.432 6121 [*] [  4] tested 1200000 candidates, scanning=0xffffffa042f6da00
1788952749.432 6121 [*] [  5] tested 900000 candidates, scanning=0xffffffa8323921c0
1788952749.432 6121 [*] [  3] tested 1200000 candidates, scanning=0xffffff9842f6da00
1788952749.434 6121 [*] [  2] tested 1100000 candidates, scanning=0xffffff903d624740
1788952749.434 6121 [*] [  7] tested 700000 candidates, scanning=0xffffffb8270fff80
1788952749.435 6121 [*] [  6] tested 1100000 candidates, scanning=0xffffffb03d624740
1788952749.437 6121 [*] [  4] tested 1300000 candidates, scanning=0xffffffa0488b6cc0
1788952749.437 6121 [*] [  7] tested 800000 candidates, scanning=0xffffffb82ca48f00
1788952749.437 6121 [*] [  5] tested 1000000 candidates, scanning=0xffffffa837cdb480
1788952749.439 6121 [*] [  1] tested 1000000 candidates, scanning=0xffffff8837cdb480
1788952749.439 6121 [*] [  4] tested 1400000 candidates, scanning=0xffffffa04e1fff80
1788952749.438 6121 [*] [  2] tested 1200000 candidates, scanning=0xffffff9042f6da00
1788952749.439 6121 [*] [  3] tested 1300000 candidates, scanning=0xffffff98488b6cc0
1788952749.440 6121 [*] [  0] tested 1200000 candidates, scanning=0xffffff8042f6da00
1788952749.441 6121 [*] [  6] tested 1200000 candidates, scanning=0xffffffb042f6da00
1788952749.442 6121 [*] [  5] tested 1100000 candidates, scanning=0xffffffa83d624740
1788952749.442 6121 [*] [  1] tested 1100000 candidates, scanning=0xffffff883d624740
1788952749.443 6121 [*] [  2] tested 1300000 candidates, scanning=0xffffff90488b6cc0
1788952749.445 6121 [*] [  5] tested 1200000 candidates, scanning=0xffffffa842f6da00
1788952749.446 6121 [*] [  6] tested 1300000 candidates, scanning=0xffffffb0488b6cc0
1788952749.444 6121 [*] [  4] tested 1500000 candidates, scanning=0xffffffa053b48f00
1788952749.447 6121 [*] [  1] tested 1200000 candidates, scanning=0xffffff8842f6da00
1788952749.445 6121 [*] [  3] tested 1400000 candidates, scanning=0xffffff984e1fff80
1788952749.448 6121 [*] [  0] tested 1300000 candidates, scanning=0xffffff80488b6cc0
1788952749.450 6121 [*] [  4] tested 1600000 candidates, scanning=0xffffffa0594921c0
1788952749.448 6121 [*] [  5] tested 1300000 candidates, scanning=0xffffffa8488b6cc0
1788952749.449 6121 [*] [  2] tested 1400000 candidates, scanning=0xffffff904e1fff80
1788952749.450 6121 [*] [  6] tested 1400000 candidates, scanning=0xffffffb04e1fff80
1788952749.451 6121 [*] [  7] tested 900000 candidates, scanning=0xffffffb8323921c0
1788952749.452 6121 [*] [  1] tested 1300000 candidates, scanning=0xffffff88488b6cc0
1788952749.453 6121 [*] [  5] tested 1400000 candidates, scanning=0xffffffa84e1fff80
1788952749.452 6121 [*] [  0] tested 1400000 candidates, scanning=0xffffff804e1fff80
1788952749.454 6121 [*] [  4] tested 1700000 candidates, scanning=0xffffffa05eddb480
1788952749.455 6121 [*] [  6] tested 1500000 candidates, scanning=0xffffffb053b48f00
1788952749.454 6121 [*] [  3] tested 1500000 candidates, scanning=0xffffff9853b48f00
1788952749.457 6121 [*] [  2] tested 1500000 candidates, scanning=0xffffff9053b48f00
1788952749.458 6121 [*] [  5] tested 1500000 candidates, scanning=0xffffffa853b48f00
1788952749.459 6121 [*] [  4] tested 1800000 candidates, scanning=0xffffffa064724740
1788952749.456 6121 [*] [  7] tested 1000000 candidates, scanning=0xffffffb837cdb480
1788952749.457 6121 [*] [  1] tested 1400000 candidates, scanning=0xffffff884e1fff80
1788952749.459 6121 [*] [  0] tested 1500000 candidates, scanning=0xffffff8053b48f00
1788952749.461 6121 [*] [  2] tested 1600000 candidates, scanning=0xffffff90594921c0
1788952749.461 6121 [*] [  6] tested 1600000 candidates, scanning=0xffffffb0594921c0
